exp,phi_0,dV_ges,eps_0,h_c_0,h_dis_0,V_dis_total,Vol_imbalance [%],status
2mmol_21C,0.000788146,2001.955094,0.499969199,0.100433843,0.028992381,0.007922459200025132,9.748290140587479e-15,success
2mmol_21C,0.000713023,1997.598657,0.399805314,0.101644485,0.025204136,0.006938824303916694,0.0,success
2mmol_21C,0.000695101,2001.264876,0.400032633,0.099360454,0.031842179,0.009229450514493368,0.0,success
2mmol_21C,0.000701274,1924.430228,0.405192863,0.09681693,0.032997345,0.009320761277377708,0.0,success
2mmol_30C,0.000736455,994.2105979,0.499857828,0.094951861,0.017182822,0.0008520085759597595,0.0,success
2mmol_30C,0.000729699,997.5086511,0.49970384,0.094908578,0.018852822,0.0009931582318606837,0.0,success
2mmol_30C,0.000696677,1007.257906,0.499389616,0.094442906,0.022076011,0.001238611431557491,0.0,success
2mmol_30C,0.000642362,1000.261072,0.40010973,0.096245903,0.01721428,0.000894989284842106,4.8776363619044956e-15,success
2mmol_30C,0.000680124,1003.011034,0.399540616,0.096185946,0.019736321,0.00105699247235592,4.8642633139614805e-15,success
2mmol_30C,0.000592162,1010.883414,0.401008022,0.096083402,0.020059832,0.0011481421399196692,4.82638225992772e-15,success
2mmol_30C,0.000593904,1008.339618,0.301374914,0.097575882,0.017153651,0.0009311490038092316,9.677116100747657e-15,success
2mmol_30C,0.000583647,997.8167071,0.299300475,0.096670351,0.019624799,0.0010898232802407037,0.0,success
2mmol_30C,0.000510028,1008.09181,0.301688052,0.09663562,0.01704373,0.0009544094679476217,0.0,success
2mmol_30C,0.000805085,1497.098344,0.500176961,0.09254587,0.023555221,0.0020330999811203642,0.0,success
2mmol_30C,0.000767246,1498.859949,0.499958571,0.092378649,0.023109551,0.0019962177216916108,6.5101609786022385e-15,success
2mmol_30C,0.000706178,1497.170512,0.499902324,0.091588153,0.024668497,0.002196774807466559,0.0,success
2mmol_30C,0.000690491,1504.55173,0.399974702,0.094995365,0.020796282,0.0017320463907931948,0.0,success
2mmol_30C,0.000668726,1502.45683,0.400318473,0.094793715,0.020327869,0.0016949164572099588,0.0,success
2mmol_30C,0.000608862,1501.329022,0.400164975,0.093850811,0.021022189,0.0018173458276839756,0.0,success
2mmol_30C,0.000586386,1499.920685,0.299993344,0.106182606,0.018880044,0.0015251541686467113,0.0,success
2mmol_30C,0.000587436,1500.302083,0.300089995,0.117572011,0.017454755,0.0012930512609223865,6.5039032225149154e-15,success
2mmol_30C,0.000521472,1500.327201,0.300294854,0.126666367,0.018037183,0.0013212505321187876,0.0,success
2mmol_30C,0.000734309,2000.66034,0.500126848,0.089674559,0.026662858,0.0033117530092765766,0.0,success
2mmol_30C,0.000698241,2002.427889,0.500111765,0.089625669,0.025932648,0.003218871764175981,0.0,success
2mmol_30C,0.000686666,2012.648973,0.500056697,0.089115579,0.025288621,0.003138857765938932,0.0,success
2mmol_30C,0.000603176,1999.154375,0.399837705,0.0929496,0.023257283,0.0027989978523169446,9.761947025596301e-15,success
2mmol_30C,0.00060376,1998.748421,0.399936998,0.09186832,0.023698463,0.002884858473347395,4.881964858532608e-15,success
2mmol_30C,0.000724233,1011.658543,0.504979029,0.094290947,0.022361436,0.0012636704546473752,0.0,success
5mmol_30C,0.000811755,1501.925813,0.500081897,0.091915671,0.025173662,0.0017596381817422749,6.496871861386365e-15,success
5mmol_30C,0.000796639,1500.334629,0.500019884,0.092305314,0.024801119,0.0017394874514561635,0.0,success
5mmol_30C,0.000759009,1500.54942,0.500010124,0.091771162,0.024511805,0.0017204035644152744,0.0,success
5mmol_30C,0.000750961,1745.095888,0.499998599,0.090949002,0.024870665,0.002073924773741621,5.591566411604277e-15,success
5mmol_30C,0.000763323,1753.050784,0.500061987,0.091166435,0.025023548,0.002073714871841274,0.0,success
5mmol_30C,0.000723707,1752.592616,0.500020691,0.090262733,0.0243341,0.002000529318183475,5.567648444531357e-15,success
5mmol_30C,0.000701074,1997.359584,0.499814357,0.089684443,0.025514657,0.0024566741449064894,0.0,success
5mmol_30C,0.000712062,2001.847182,0.500082703,0.089956089,0.025693544,0.0024620492052326052,0.0,success
5mmol_30C,0.000699313,2002.089285,0.499927696,0.089725541,0.025077159,0.002394975578072732,0.0,success
5mmol_30C,0.00077305,1755.043053,0.500060052,0.091026439,0.026129478,0.0022179335199132037,0.0,success
